motion,运动,4c97ff,display
looks,外观,9966ff,display
sound,声音,d65cd6,art
event,事件,ffd500,control
control,控制,ffab19,control
sensing,侦测,4cbfe6,interact
operator,运算,40bf4a,operation
data,变量,ff8c1a,operation
procedures,自制,ff6680,control
music,音乐,d473d4,art
pen,画笔,0fbd8c,art
videoSensing,视频侦测,9bcfe5,interact
text2speech,朗读,a376ff,interact
translate,翻译,5cb1d6,interact
makeymakey,MK,e95f1a,interact
microbit,Bit,27c498,interact
ev3,EV3,ffbf00,interact
boost,Boost,ffab19,interact
wedo2,WeDo,ff6680,interact
gdxfor,GDF,5ea2ff,interact
lazyAudio,懒音乐,d473d4,art
canvas,Canvas,0fbd8c,art
battle,对战,ffab19,interact
stringExt,字符串,ffe966,operation
js,JS,ffe966,operation
community,社区,3374c8,interact
puzzle,谜题,0ba14b,interact
kinect,Kinect,ff6666,interact
other,其它,979797,other
GandiFermi,费米,cc3228,display
box2d,物理引擎,0fbd8c,display
GandiPureMath,纯粹数学,3fbe00,operation
CCWData,云数据,ed35a3,interact
GandiQuake,雷神,6645f6,display
GandiAsyncAssetManager,动态资源,0fbd8c,display
GandiKamera,相机,0cc6d1,interact
GandiEconomy,经济,0fbd8c,interact
WitCatFileHelper,文件,60d6f4,interact
FurryR.NotJS,Not.JS,b5b5b5,operation
WitCatFPS,FPS,ec3838,control
YUEN.SimpleUtils,系统工具,0fbd8c,interact
GandiJoystick,移动端,3bcca9,interact
GandiAIHub,AI,0260d5,interact
text,艺术字,0fbd8c,display
WitCatMouse,鼠标,8eace1,display
Gandi4DPocket,四次元,00cefb,control
ArkosArchiveCode,存档码,2fbc95,interact
arkosExtensions,Arkos,ff8383,interact
CCWCanvasV2,画布,0fbd8c,art
CCWMMO,MMO,56ccf2,interact
CCWSugar,便利积木,0fbd8c,operation
faceSensing,人脸识别,0fbd8c,interact
GandiAStarExtension,A*,44c5b8,operation
GandiDolly,多莉,f3af43,display
GandiMedia,媒体助手,3abb78,art
GandiTerminal,控制台,ff3e32,control
lazyMusic,懒音乐,0fbd8c,art
RegExpVI,正则,3333ff,operation
VIDateTime,时间,00cc80,operation
WitCatInput,输入框,4eb2b2,display
httpio,HTTP,0fbd8c,interact
ccjson,JSON,ffb11b,operation
griffpatch.box2d,物理,66ccff,display
bddjr.connect_more_strings_v2,更多字串,339900,operation
skyhigh173.jsconsole,控制台,6666e8,display
qiming.multilines,Style,ffcc66,art
alpha.stuff,Stuff,0fbd8c,interact
GandiPureMath,纯粹数学,3fbe00,operation
alpha.canvas,Canvas,0fbd8c,art
nhjr.ToolBox,nhjrTool,007ff4,interact
nhjr.restart_project,重启,ffab19,interact
skyhigh173.stretch,伸缩,ce485a,display
jasonxu.crypto,加密,1c651c,operation
shiki.chlorophyll,叶绿素,25bb62,interact
shiki.raphael,妙笔,3064a8,art
jasonxu.string,字符串,e96848,operation
jasonxu.alert,弹出框,4f6c19,display
java30433.lazyload,懒音乐,bcaaa4,art
frank.gamepad,手柄,66ccff,interact
top.sparrowhe.console,控制台,616161,display
skyhigh173.number,数字,77aef7,operation
slouchwind.date,日期,51545b,operation
top.sparrowhe.pauli,泡利,66ccff,display
shiki.lollipop,棒棒糖,e7659f,operation
top.sparrowhe.easier_rank,排行榜,66ccff,interact
shiki.touch,触摸,33cccc,interact
shiki.transportase,转运酶,66ccff,control
StrokeMoveExtensions,轨迹,6bcee3,display
Consoles,控制台,808080,control
Biter,位运算,000000,operation
strmani,字符串处理,53aae7,operation
WitCatBBcode,BBcode,d1648b,display
WitCatIndexedDB,本地存储,1b86a1,interact
KYSTEAM.BlockStyle,积木样式,2e3644,display
layerManager,图层,9a4bb3,display
qxsckvarandlist,高级数据,ed6b00,operation
DilemmaGX.3dm,3D,00b080,art
advancedControls,高级控制,ffb403,control
qxsckeasystruct,结构体,0e7bed,operation
skyhigh173BigInt,大数字,59c093,operation
lmscomments,注释块,e3da8b,control
nights,性能,4d7eb4,control
moreDataTypes,数据结构,da4d16,operation
scratchhub,Sc Hub,ffbe00,interact
YUEN.feishu,飞书,8eace1,interact
witCat.dollyPro,多莉Pro,fe9822,display
shikiScopeVar,局部变量,9999ff,operation
Animator,动画,023020,display
qxsckdataanalysis,统计,ff9494,operation
sipc.ink.CloudMusic,云音乐,4d4d4f,art
